NAV Date,NAV (Rs)
18-03-2024,120.562
15-03-2024,120.337
14-03-2024,120.881
13-03-2024,118.918
12-03-2024,123.531
11-03-2024,124.882
07-03-2024,125.955
06-03-2024,125.597
05-03-2024,126.412
04-03-2024,126.865
01-03-2024,125.705
29-02-2024,124.131
28-02-2024,123.306
27-02-2024,125.089
26-02-2024,125.11
23-02-2024,125.143
22-02-2024,124.753
21-02-2024,123.827
20-02-2024,125.12
19-02-2024,125.094
16-02-2024,124.563
15-02-2024,123.638
14-02-2024,122.674
13-02-2024,121.492
12-02-2024,121.199
09-02-2024,123.616
08-02-2024,124.407
07-02-2024,124.378
06-02-2024,123.835
05-02-2024,122.566
02-02-2024,122.591
01-02-2024,121.435
31-01-2024,121.567
30-01-2024,120.099
29-01-2024,120.16
25-01-2024,118.117
24-01-2024,118.373
23-01-2024,116.454
19-01-2024,119.259
18-01-2024,117.829
17-01-2024,117.795
16-01-2024,119.455
15-01-2024,119.86
12-01-2024,119.455
11-01-2024,118.717
10-01-2024,117.599
09-01-2024,117.466
08-01-2024,117.226
05-01-2024,118.057
04-01-2024,117.638
03-01-2024,116.163
02-01-2024,116.128
01-01-2024,116.194
29-12-2023,115.552
28-12-2023,115.266
27-12-2023,114.544
26-12-2023,113.691
22-12-2023,113.318
21-12-2023,112.623
20-12-2023,111.251
19-12-2023,113.988
18-12-2023,113.953
15-12-2023,113.791
14-12-2023,113.195
13-12-2023,111.972
12-12-2023,111.032
11-12-2023,111.419
08-12-2023,110.994
07-12-2023,110.993
06-12-2023,110.561
05-12-2023,110.401
04-12-2023,110.137
01-12-2023,108.694
30-11-2023,107.59
29-11-2023,106.91
28-11-2023,105.947
24-11-2023,105.497
23-11-2023,105.333
22-11-2023,105.19
21-11-2023,105.255
20-11-2023,104.947
17-11-2023,104.891
16-11-2023,104.679
15-11-2023,104.259
13-11-2023,103.255
10-11-2023,102.442
09-11-2023,102.283
08-11-2023,102.192
07-11-2023,101.611
06-11-2023,101.346
03-11-2023,100.378
02-11-2023,99.513
01-11-2023,98.395
31-10-2023,98.762
30-10-2023,98.973
27-10-2023,98.762
26-10-2023,97.613
25-10-2023,98.338
23-10-2023,98.998
20-10-2023,101.086
19-10-2023,101.705
18-10-2023,101.832
17-10-2023,102.464
16-10-2023,102.038
13-10-2023,101.732
12-10-2023,102.072
11-10-2023,101.882
10-10-2023,101.31
09-10-2023,100.219
06-10-2023,101.202
05-10-2023,100.722
04-10-2023,100.148
03-10-2023,101.175
29-09-2023,101.217
27-09-2023,101.116
26-09-2023,100.379
25-09-2023,100.373
22-09-2023,100.296
21-09-2023,100.614
20-09-2023,101.46
18-09-2023,101.964
15-09-2023,102.392
14-09-2023,101.924
13-09-2023,101.128
12-09-2023,100.685
11-09-2023,102.357
08-09-2023,101.506
07-09-2023,100.832
06-09-2023,100.11
05-09-2023,100.098
04-09-2023,99.488
01-09-2023,98.9
31-08-2023,98.096
30-08-2023,98.286
29-08-2023,97.946
28-08-2023,97.744
25-08-2023,97.197
24-08-2023,97.927
23-08-2023,98.101
22-08-2023,97.631
21-08-2023,97.133
18-08-2023,96.545
17-08-2023,96.889
16-08-2023,96.907
14-08-2023,96.701
11-08-2023,96.474
10-08-2023,97.036
09-08-2023,97.31
08-08-2023,96.956
07-08-2023,96.507
04-08-2023,96.026
03-08-2023,95.385
02-08-2023,95.536
01-08-2023,96.782
31-07-2023,96.804
28-07-2023,96.026
27-07-2023,95.702
26-07-2023,95.689
25-07-2023,95.286
24-07-2023,94.946
21-07-2023,95.027
20-07-2023,95.542
19-07-2023,94.873
18-07-2023,94.499
17-07-2023,94.645
14-07-2023,94.156
13-07-2023,93.343
12-07-2023,93.412
11-07-2023,93.34
10-07-2023,92.754
07-07-2023,92.613
06-07-2023,93.168
05-07-2023,92.465
04-07-2023,92.434
03-07-2023,92.378
30-06-2023,91.813
28-06-2023,90.987
27-06-2023,90.248
26-06-2023,89.493
23-06-2023,89.247
22-06-2023,89.695
21-06-2023,90.176
20-06-2023,89.741
19-06-2023,89.263
16-06-2023,89.5
15-06-2023,88.833
14-06-2023,88.974
13-06-2023,88.939
12-06-2023,88.313
09-06-2023,87.95
08-06-2023,88.024
07-06-2023,88.555
06-06-2023,87.79
05-06-2023,87.649
02-06-2023,87.3
01-06-2023,86.803
31-05-2023,86.845
30-05-2023,87.045
29-05-2023,86.69
26-05-2023,86.121
25-05-2023,85.388
24-05-2023,85.024
23-05-2023,85.177
22-05-2023,85.014
19-05-2023,84.817
18-05-2023,84.884
17-05-2023,85.065
16-05-2023,85.371
15-05-2023,85.48
12-05-2023,84.987
11-05-2023,85.103
10-05-2023,84.894
09-05-2023,84.638
08-05-2023,84.696
05-05-2023,83.72
04-05-2023,84.745
03-05-2023,84.044
02-05-2023,84.048
28-04-2023,83.44
